t1,key1,t2,key2,reduce,time
5000,20,5000,20,1,18128
5000,20,5000,20,2,20121
5000,20,5000,20,3,20129
5000,20,5000,20,4,22129
5000,20,5000,20,5,22121
5000,20,5000,20,6,22121
5000,20,5000,20,7,24122
5000,20,5000,20,8,24122
5000,20,5000,20,9,24116
5000,20,5000,20,10,26118
5000,20,5000,20,11,26129
5000,20,5000,20,12,26125
5000,20,5000,20,13,26118
5000,20,5000,20,14,26120
5000,20,5000,20,15,26120
5000,20,5000,20,16,28114
5000,20,5000,20,17,30119
5000,20,5000,20,18,28124
5000,20,5000,20,19,30116
5000,20,5000,20,20,30115
5000,20,5000,20,21,30117
5000,20,5000,20,22,30120
5000,20,5000,20,23,32125
5000,20,5000,20,24,32174
5000,20,5000,20,25,34127
5000,20,5000,20,26,34111
5000,20,5000,20,27,36121
5000,20,5000,20,28,34119
5000,20,5000,20,29,36129
5000,20,5000,20,30,36119
5000,20,5000,20,31,36118
5000,20,5000,20,32,36114
5000,20,5000,20,33,36126
5000,20,5000,20,34,38113
5000,20,5000,20,35,40119
5000,20,5000,20,36,38120
5000,20,5000,20,37,40129
5000,20,5000,20,38,40117
5000,20,5000,20,39,40119
5000,20,5000,20,40,40115
5000,20,10000,14,1,20116
5000,20,10000,14,2,20116
5000,20,10000,14,3,20114
5000,20,10000,14,4,22116
5000,20,10000,14,5,22114
5000,20,10000,14,6,22113
5000,20,10000,14,7,24111
5000,20,10000,14,8,24108
5000,20,10000,14,9,24108
5000,20,10000,14,10,26131
5000,20,10000,14,11,24121
5000,20,10000,14,12,26109
5000,20,10000,14,13,28108
5000,20,10000,14,14,28119
5000,20,10000,14,15,30115
5000,20,10000,14,16,28106
5000,20,10000,14,17,30101
5000,20,10000,14,18,30108
5000,20,10000,14,19,32169
5000,20,10000,14,20,30128
5000,20,10000,14,21,32117
5000,20,10000,14,22,30118
5000,20,10000,14,23,32116
5000,20,10000,14,24,32108
5000,20,10000,14,25,32109
5000,20,10000,14,26,34123
5000,20,10000,14,27,34114
5000,20,10000,14,28,36112
5000,20,10000,14,29,36113
5000,20,10000,14,30,36112
5000,20,10000,14,31,36109
5000,20,10000,14,32,38113
5000,20,10000,14,33,38112
5000,20,10000,14,34,38110
5000,20,10000,14,35,38111
5000,20,10000,14,36,38114
5000,20,10000,14,37,40118
5000,20,10000,14,38,40103
5000,20,10000,14,39,42116
5000,20,10000,14,40,42114
5000,20,15000,4,1,22118
5000,20,15000,4,2,22114
5000,20,15000,4,3,20112
5000,20,15000,4,4,22112
5000,20,15000,4,5,22113
5000,20,15000,4,6,22122
5000,20,15000,4,7,22096
5000,20,15000,4,8,24108
5000,20,15000,4,9,24115
5000,20,15000,4,10,26109
5000,20,15000,4,11,26173
5000,20,15000,4,12,26118
5000,20,15000,4,13,26122
5000,20,15000,4,14,26112
5000,20,15000,4,15,28109
5000,20,15000,4,16,28107
5000,20,15000,4,17,28108
5000,20,15000,4,18,28104
5000,20,15000,4,19,28107
5000,20,15000,4,20,32106
5000,20,15000,4,21,30113
5000,20,15000,4,22,32107
5000,20,15000,4,23,34119
5000,20,15000,4,24,32110
5000,20,15000,4,25,34119
5000,20,15000,4,26,34171
5000,20,15000,4,27,34113
5000,20,15000,4,28,34123
5000,20,15000,4,29,36110
5000,20,15000,4,30,36109
5000,20,15000,4,31,36107
5000,20,15000,4,32,36106
5000,20,15000,4,33,38103
5000,20,15000,4,34,38110
5000,20,15000,4,35,38105
5000,20,15000,4,36,38112
5000,20,15000,4,37,40106
5000,20,15000,4,38,40127
5000,20,15000,4,39,42119
5000,20,15000,4,40,40112
5000,20,20000,16,1,22112
5000,20,20000,16,2,20102
5000,20,20000,16,3,20112
5000,20,20000,16,4,24115
5000,20,20000,16,5,24113
5000,20,20000,16,6,24130
5000,20,20000,16,7,24115
5000,20,20000,16,8,24111
5000,20,20000,16,9,24118
5000,20,20000,16,10,26109
5000,20,20000,16,11,26111
5000,20,20000,16,12,26112
5000,20,20000,16,13,28104
5000,20,20000,16,14,28108
5000,20,20000,16,15,30122
5000,20,20000,16,16,30120
5000,20,20000,16,17,30114
5000,20,20000,16,18,30118
5000,20,20000,16,19,28122
5000,20,20000,16,20,32110
5000,20,20000,16,21,32116
5000,20,20000,16,22,30108
5000,20,20000,16,23,32109
5000,20,20000,16,24,32109
5000,20,20000,16,25,34108
5000,20,20000,16,26,34116
5000,20,20000,16,27,34112
5000,20,20000,16,28,34114
5000,20,20000,16,29,34113
5000,20,20000,16,30,38106
5000,20,20000,16,31,36113
5000,20,20000,16,32,36110
5000,20,20000,16,33,36107
5000,20,20000,16,34,38114
5000,20,20000,16,35,40112
5000,20,20000,16,36,38105
5000,20,20000,16,37,40116
5000,20,20000,16,38,42114
5000,20,20000,16,39,40112
5000,20,20000,16,40,40122
5000,20,25000,18,1,22104
5000,20,25000,18,2,18099
5000,20,25000,18,3,22106
5000,20,25000,18,4,22111
5000,20,25000,18,5,22117
5000,20,25000,18,6,22113
5000,20,25000,18,7,22103
5000,20,25000,18,8,24108
5000,20,25000,18,9,26172
5000,20,25000,18,10,24115
5000,20,25000,18,11,26119
5000,20,25000,18,12,26104
5000,20,25000,18,13,28110
5000,20,25000,18,14,28109
5000,20,25000,18,15,26104
5000,20,25000,18,16,30100
5000,20,25000,18,17,28168
5000,20,25000,18,18,30169
5000,20,25000,18,19,30109
5000,20,25000,18,20,30107
5000,20,25000,18,21,30110
5000,20,25000,18,22,30112
5000,20,25000,18,23,32111
5000,20,25000,18,24,32119
5000,20,25000,18,25,32117
5000,20,25000,18,26,34110
5000,20,25000,18,27,34101
5000,20,25000,18,28,36123
5000,20,25000,18,29,36115
5000,20,25000,18,30,36165
5000,20,25000,18,31,34108
5000,20,25000,18,32,36110
5000,20,25000,18,33,38103
5000,20,25000,18,34,40123
5000,20,25000,18,35,38116
5000,20,25000,18,36,40313
5000,20,25000,18,37,40175
5000,20,25000,18,38,40119
5000,20,25000,18,39,40108
5000,20,25000,18,40,40112
5000,20,30000,16,1,22108
5000,20,30000,16,2,20115
5000,20,30000,16,3,20109
5000,20,30000,16,4,22113
5000,20,30000,16,5,22109
5000,20,30000,16,6,22101
5000,20,30000,16,7,22108
5000,20,30000,16,8,24113
5000,20,30000,16,9,24115
5000,20,30000,16,10,24114
5000,20,30000,16,11,26106
5000,20,30000,16,12,28117
5000,20,30000,16,13,28107
5000,20,30000,16,14,28105
5000,20,30000,16,15,30108
5000,20,30000,16,16,30104
5000,20,30000,16,17,28104
5000,20,30000,16,18,30173
5000,20,30000,16,19,28102
5000,20,30000,16,20,30110
5000,20,30000,16,21,30106
5000,20,30000,16,22,30110
5000,20,30000,16,23,32108
5000,20,30000,16,24,34106
5000,20,30000,16,25,32121
5000,20,30000,16,26,32113
5000,20,30000,16,27,32109
5000,20,30000,16,28,36111
5000,20,30000,16,29,34113
5000,20,30000,16,30,36107
5000,20,30000,16,31,34106
5000,20,30000,16,32,38103
5000,20,30000,16,33,38107
5000,20,30000,16,34,38116
5000,20,30000,16,35,38107
5000,20,30000,16,36,40160
5000,20,30000,16,37,40171
5000,20,30000,16,38,40164
5000,20,30000,16,39,42105
5000,20,30000,16,40,40116
5000,20,35000,23,1,24110
5000,20,35000,23,2,18118
5000,20,35000,23,3,20111
5000,20,35000,23,4,22156
5000,20,35000,23,5,24109
5000,20,35000,23,6,22110
5000,20,35000,23,7,24112
5000,20,35000,23,8,24115
5000,20,35000,23,9,24106
5000,20,35000,23,10,26112
5000,20,35000,23,11,24113
5000,20,35000,23,12,26116
5000,20,35000,23,13,28170
5000,20,35000,23,14,28108
5000,20,35000,23,15,28110
5000,20,35000,23,16,28105
5000,20,35000,23,17,28105
5000,20,35000,23,18,28112
5000,20,35000,23,19,30104
5000,20,35000,23,20,32099
5000,20,35000,23,21,30109
5000,20,35000,23,22,32099
5000,20,35000,23,23,32122
5000,20,35000,23,24,32112
5000,20,35000,23,25,34112
5000,20,35000,23,26,34120
5000,20,35000,23,27,34104
5000,20,35000,23,28,36177
5000,20,35000,23,29,36107
5000,20,35000,23,30,38099
5000,20,35000,23,31,36111
5000,20,35000,23,32,36110
5000,20,35000,23,33,38127
5000,20,35000,23,34,40115
5000,20,35000,23,35,38111
5000,20,35000,23,36,40108
5000,20,35000,23,37,40109
5000,20,35000,23,38,40115
5000,20,35000,23,39,40113
5000,20,35000,23,40,40107
5000,20,40000,22,1,22107
5000,20,40000,22,2,22112
5000,20,40000,22,3,20110
5000,20,40000,22,4,22108
5000,20,40000,22,5,24110
5000,20,40000,22,6,24113
5000,20,40000,22,7,24117
5000,20,40000,22,8,24104
5000,20,40000,22,9,24111
5000,20,40000,22,10,24110
5000,20,40000,22,11,26114
5000,20,40000,22,12,28107
5000,20,40000,22,13,26110
5000,20,40000,22,14,28113
5000,20,40000,22,15,28107
5000,20,40000,22,16,30099
5000,20,40000,22,17,32103
5000,20,40000,22,18,30105
5000,20,40000,22,19,32115
5000,20,40000,22,20,32114
5000,20,40000,22,21,32117
5000,20,40000,22,22,34108
5000,20,40000,22,23,32107
5000,20,40000,22,24,34115
5000,20,40000,22,25,34112
5000,20,40000,22,26,34107
5000,20,40000,22,27,36115
5000,20,40000,22,28,34106
5000,20,40000,22,29,34113
5000,20,40000,22,30,36110
5000,20,40000,22,31,38119
5000,20,40000,22,32,38112
5000,20,40000,22,33,38110
5000,20,40000,22,34,40108
5000,20,40000,22,35,38106
5000,20,40000,22,36,40165
5000,20,40000,22,37,40173
5000,20,40000,22,38,42108
5000,20,40000,22,39,42113
5000,20,40000,22,40,42110
5000,20,45000,6,1,24103
5000,20,45000,6,2,24123
5000,20,45000,6,3,22110
5000,20,45000,6,4,22108
5000,20,45000,6,5,22117
5000,20,45000,6,6,24109
5000,20,45000,6,7,22110
5000,20,45000,6,8,24106
5000,20,45000,6,9,26109
5000,20,45000,6,10,24109
5000,20,45000,6,11,24124
5000,20,45000,6,12,26107
5000,20,45000,6,13,26116
5000,20,45000,6,14,26101
5000,20,45000,6,15,30109
5000,20,45000,6,16,28109
5000,20,45000,6,17,30104
5000,20,45000,6,18,28118
5000,20,45000,6,19,32114
5000,20,45000,6,20,30100
5000,20,45000,6,21,30102
5000,20,45000,6,22,32099
5000,20,45000,6,23,32108
5000,20,45000,6,24,34115
5000,20,45000,6,25,34105
5000,20,45000,6,26,34166
5000,20,45000,6,27,34110
5000,20,45000,6,28,34104
5000,20,45000,6,29,36103
5000,20,45000,6,30,36105
5000,20,45000,6,31,36104
5000,20,45000,6,32,38113
5000,20,45000,6,33,38111
5000,20,45000,6,34,38111
5000,20,45000,6,35,36121
5000,20,45000,6,36,38113
5000,20,45000,6,37,40112
5000,20,45000,6,38,40106
5000,20,45000,6,39,40114
5000,20,45000,6,40,40102
5000,20,50000,6,1,24099
5000,20,50000,6,2,24162
5000,20,50000,6,3,22113
5000,20,50000,6,4,22103
5000,20,50000,6,5,22105
5000,20,50000,6,6,24107
5000,20,50000,6,7,24109
5000,20,50000,6,8,22117
5000,20,50000,6,9,24166
5000,20,50000,6,10,26108
5000,20,50000,6,11,26107
5000,20,50000,6,12,28120
5000,20,50000,6,13,26121
5000,20,50000,6,14,26110
5000,20,50000,6,15,26114
5000,20,50000,6,16,28144
5000,20,50000,6,17,28109
5000,20,50000,6,18,30101
5000,20,50000,6,19,30115
5000,20,50000,6,20,32108
5000,20,50000,6,21,30112
5000,20,50000,6,22,32103
5000,20,50000,6,23,32124
5000,20,50000,6,24,32107
5000,20,50000,6,25,34108
5000,20,50000,6,26,34116
5000,20,50000,6,27,34105
5000,20,50000,6,28,34112
5000,20,50000,6,29,36105
5000,20,50000,6,30,36115
5000,20,50000,6,31,36109
5000,20,50000,6,32,38106
5000,20,50000,6,33,38112
5000,20,50000,6,34,38107
5000,20,50000,6,35,38105
5000,20,50000,6,36,40093
5000,20,50000,6,37,40166
5000,20,50000,6,38,40121
5000,20,50000,6,39,40106
5000,20,50000,6,40,40119
5000,20,55000,14,1,26108
5000,20,55000,14,2,22106
5000,20,55000,14,3,22112
5000,20,55000,14,4,24104
5000,20,55000,14,5,22121
5000,20,55000,14,6,22107
5000,20,55000,14,7,24099
5000,20,55000,14,8,24109
5000,20,55000,14,9,24093
5000,20,55000,14,10,26097
5000,20,55000,14,11,26104
5000,20,55000,14,12,26162
5000,20,55000,14,13,28111
5000,20,55000,14,14,28113
5000,20,55000,14,15,28100
5000,20,55000,14,16,28108
5000,20,55000,14,17,30108
5000,20,55000,14,18,30103
5000,20,55000,14,19,30103
5000,20,55000,14,20,32110
5000,20,55000,14,21,32121
5000,20,55000,14,22,32116
5000,20,55000,14,23,32110
5000,20,55000,14,24,34102
5000,20,55000,14,25,34112
5000,20,55000,14,26,34119
5000,20,55000,14,27,36110
5000,20,55000,14,28,34107
5000,20,55000,14,29,36110
5000,20,55000,14,30,36102
5000,20,55000,14,31,38120
5000,20,55000,14,32,38109
5000,20,55000,14,33,38167
5000,20,55000,14,34,38117
5000,20,55000,14,35,40106
5000,20,55000,14,36,40113
5000,20,55000,14,37,38105
5000,20,55000,14,38,40124
5000,20,55000,14,39,42096
5000,20,55000,14,40,42113
5000,20,60000,3,1,26107
5000,20,60000,3,2,26103
5000,20,60000,3,3,24103
5000,20,60000,3,4,24123
5000,20,60000,3,5,24112
5000,20,60000,3,6,24109
5000,20,60000,3,7,24114
5000,20,60000,3,8,24103
5000,20,60000,3,9,24099
5000,20,60000,3,10,24113
5000,20,60000,3,11,26191
5000,20,60000,3,12,26106
5000,20,60000,3,13,28107
5000,20,60000,3,14,26105
5000,20,60000,3,15,30098
5000,20,60000,3,16,28107
5000,20,60000,3,17,28105
5000,20,60000,3,18,28108
5000,20,60000,3,19,30104
5000,20,60000,3,20,30112
5000,20,60000,3,21,32115
5000,20,60000,3,22,30118
5000,20,60000,3,23,30103
5000,20,60000,3,24,32105
5000,20,60000,3,25,34112
5000,20,60000,3,26,36116
5000,20,60000,3,27,34109
5000,20,60000,3,28,34125
5000,20,60000,3,29,36106
5000,20,60000,3,30,36111
5000,20,60000,3,31,38118
5000,20,60000,3,32,38107
5000,20,60000,3,33,38116
5000,20,60000,3,34,38107
5000,20,60000,3,35,38104
5000,20,60000,3,36,40116
5000,20,60000,3,37,40106
5000,20,60000,3,38,40110
5000,20,60000,3,39,40102
5000,20,60000,3,40,40107
5000,20,65000,16,1,28104
5000,20,65000,16,2,22110
5000,20,65000,16,3,24104
5000,20,65000,16,4,24112
5000,20,65000,16,5,24117
5000,20,65000,16,6,24106
5000,20,65000,16,7,24119
5000,20,65000,16,8,26111
5000,20,65000,16,9,26109
5000,20,65000,16,10,28168
5000,20,65000,16,11,26120
5000,20,65000,16,12,28109
5000,20,65000,16,13,28110
5000,20,65000,16,14,28109
5000,20,65000,16,15,28119
5000,20,65000,16,16,30103
5000,20,65000,16,17,28115
5000,20,65000,16,18,30115
5000,20,65000,16,19,32115
5000,20,65000,16,20,32682
5000,20,65000,16,21,32108
5000,20,65000,16,22,32107
5000,20,65000,16,23,34116
5000,20,65000,16,24,34106
5000,20,65000,16,25,34118
5000,20,65000,16,26,34117
5000,20,65000,16,27,34903
5000,20,65000,16,28,36105
5000,20,65000,16,29,36113
5000,20,65000,16,30,38107
5000,20,65000,16,31,36106
5000,20,65000,16,32,38111
5000,20,65000,16,33,40105
5000,20,65000,16,34,38165
5000,20,65000,16,35,38116
5000,20,65000,16,36,40119
5000,20,65000,16,37,40108
5000,20,65000,16,38,40107
5000,20,65000,16,39,42108
5000,20,65000,16,40,42107
10000,14,10000,14,1,22164
10000,14,10000,14,2,22100
10000,14,10000,14,3,20105
10000,14,10000,14,4,22106
10000,14,10000,14,5,22503
10000,14,10000,14,6,22170
10000,14,10000,14,7,24108
10000,14,10000,14,8,24107
10000,14,10000,14,9,26116
10000,14,10000,14,10,26540
10000,14,10000,14,11,26103
10000,14,10000,14,12,28110
10000,14,10000,14,13,28103
10000,14,10000,14,14,28101
10000,14,10000,14,15,26100
10000,14,10000,14,16,28098
10000,14,10000,14,17,28105
10000,14,10000,14,18,28114
10000,14,10000,14,19,30116
10000,14,10000,14,20,32108
10000,14,10000,14,21,30097
10000,14,10000,14,22,32099
10000,14,10000,14,23,32109
10000,14,10000,14,24,34176
10000,14,10000,14,25,32112
10000,14,10000,14,26,32108
10000,14,10000,14,27,36167
10000,14,10000,14,28,34108
10000,14,10000,14,29,36103
10000,14,10000,14,30,36111
10000,14,10000,14,31,36105
10000,14,10000,14,32,38107
10000,14,10000,14,33,38117
10000,14,10000,14,34,38124
10000,14,10000,14,35,38112
10000,14,10000,14,36,40110
10000,14,10000,14,37,40176
10000,14,10000,14,38,40166
10000,14,10000,14,39,42114
10000,14,10000,14,40,42110
10000,14,15000,4,1,26108
10000,14,15000,4,2,22114
10000,14,15000,4,3,22109
10000,14,15000,4,4,22116
10000,14,15000,4,5,22107
10000,14,15000,4,6,22106
10000,14,15000,4,7,24099
10000,14,15000,4,8,24107
10000,14,15000,4,9,24116
10000,14,15000,4,10,22107
10000,14,15000,4,11,26098
10000,14,15000,4,12,26108
10000,14,15000,4,13,26111
10000,14,15000,4,14,26106
10000,14,15000,4,15,28098
10000,14,15000,4,16,28107
10000,14,15000,4,17,30107
10000,14,15000,4,18,30109
10000,14,15000,4,19,28109
10000,14,15000,4,20,32107
10000,14,15000,4,21,30116
10000,14,15000,4,22,30105
10000,14,15000,4,23,32105
10000,14,15000,4,24,32088
10000,14,15000,4,25,32108
10000,14,15000,4,26,32136
10000,14,15000,4,27,34101
10000,14,15000,4,28,34108
10000,14,15000,4,29,34108
10000,14,15000,4,30,36102
10000,14,15000,4,31,36106
10000,14,15000,4,32,36104
10000,14,15000,4,33,38114
10000,14,15000,4,34,38109
10000,14,15000,4,35,40358
10000,14,15000,4,36,38116
10000,14,15000,4,37,40110
10000,14,15000,4,38,40106
10000,14,15000,4,39,40120
10000,14,15000,4,40,40108
10000,14,20000,16,1,26097
10000,14,20000,16,2,22110
10000,14,20000,16,3,22103
10000,14,20000,16,4,22108
10000,14,20000,16,5,22107
10000,14,20000,16,6,24107
10000,14,20000,16,7,24107
10000,14,20000,16,8,24107
10000,14,20000,16,9,26115
10000,14,20000,16,10,26110
10000,14,20000,16,11,26112
10000,14,20000,16,12,26102
10000,14,20000,16,13,28103
10000,14,20000,16,14,28104
10000,14,20000,16,15,28106
10000,14,20000,16,16,30111
10000,14,20000,16,17,28112
10000,14,20000,16,18,30112
10000,14,20000,16,19,32116
10000,14,20000,16,20,32108
10000,14,20000,16,21,32108
10000,14,20000,16,22,34101
10000,14,20000,16,23,32138
10000,14,20000,16,24,32106
10000,14,20000,16,25,36118
10000,14,20000,16,26,34114
10000,14,20000,16,27,36099
10000,14,20000,16,28,34120
10000,14,20000,16,29,38102
10000,14,20000,16,30,36115
10000,14,20000,16,31,36114
10000,14,20000,16,32,38109
10000,14,20000,16,33,38128
10000,14,20000,16,34,40157
10000,14,20000,16,35,38112
10000,14,20000,16,36,40114
10000,14,20000,16,37,40104
10000,14,20000,16,38,40099
10000,14,20000,16,39,40100
10000,14,20000,16,40,42107
10000,14,25000,18,1,28103
10000,14,25000,18,2,24104
10000,14,25000,18,3,24102
10000,14,25000,18,4,22106
10000,14,25000,18,5,22106
10000,14,25000,18,6,24095
10000,14,25000,18,7,26109
10000,14,25000,18,8,26123
10000,14,25000,18,9,26105
10000,14,25000,18,10,26109
10000,14,25000,18,11,24113
10000,14,25000,18,12,28111
10000,14,25000,18,13,28120
10000,14,25000,18,14,28110
10000,14,25000,18,15,28109
10000,14,25000,18,16,28106
10000,14,25000,18,17,30111
10000,14,25000,18,18,30111
10000,14,25000,18,19,30116
10000,14,25000,18,20,32119
10000,14,25000,18,21,32102
10000,14,25000,18,22,32176
10000,14,25000,18,23,32107
10000,14,25000,18,24,34103
10000,14,25000,18,25,34116
10000,14,25000,18,26,34104
10000,14,25000,18,27,36109
10000,14,25000,18,28,36111
10000,14,25000,18,29,34110
10000,14,25000,18,30,36114
10000,14,25000,18,31,38101
10000,14,25000,18,32,38117
10000,14,25000,18,33,38110
10000,14,25000,18,34,38105
10000,14,25000,18,35,38092
10000,14,25000,18,36,40113
10000,14,25000,18,37,40102
10000,14,25000,18,38,42106
10000,14,25000,18,39,42108
10000,14,25000,18,40,42111
10000,14,30000,16,1,32105
10000,14,30000,16,2,26101
10000,14,30000,16,3,22102
10000,14,30000,16,4,22100
10000,14,30000,16,5,24104
10000,14,30000,16,6,24097
10000,14,30000,16,7,24100
10000,14,30000,16,8,24098
10000,14,30000,16,9,26115
10000,14,30000,16,10,26104
10000,14,30000,16,11,28163
10000,14,30000,16,12,26107
10000,14,30000,16,13,28107
10000,14,30000,16,14,28108
10000,14,30000,16,15,28107
10000,14,30000,16,16,30176
10000,14,30000,16,17,30114
10000,14,30000,16,18,30118
10000,14,30000,16,19,32114
10000,14,30000,16,20,34109
10000,14,30000,16,21,32110
10000,14,30000,16,22,34104
10000,14,30000,16,23,34114
10000,14,30000,16,24,34110
10000,14,30000,16,25,34109
10000,14,30000,16,26,34103
10000,14,30000,16,27,36110
10000,14,30000,16,28,36122
10000,14,30000,16,29,36109
10000,14,30000,16,30,38115
10000,14,30000,16,31,38106
10000,14,30000,16,32,38117
10000,14,30000,16,33,38119
10000,14,30000,16,34,40108
10000,14,30000,16,35,40109
10000,14,30000,16,36,40115
10000,14,30000,16,37,42110
10000,14,30000,16,38,42109
10000,14,30000,16,39,40110
10000,14,30000,16,40,42107
10000,14,35000,23,1,26108
10000,14,35000,23,2,24106
10000,14,35000,23,3,22111
10000,14,35000,23,4,22103
10000,14,35000,23,5,24117
10000,14,35000,23,6,24107
10000,14,35000,23,7,24103
10000,14,35000,23,8,24102
10000,14,35000,23,9,24106
10000,14,35000,23,10,26103
10000,14,35000,23,11,28116
10000,14,35000,23,12,26114
10000,14,35000,23,13,28106
10000,14,35000,23,14,30165
10000,14,35000,23,15,28111
